Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud
Banco Popular ,Cedaceros,"Cedaceros, 9",Madrid,Espana,39.3634099,-1.8709985

Banco Popular ,Oca,"Oca, 69",Madrid,Espana,44.4118552,11.1405753

Banco Popular ,Avenida Bruselas,"Avenida Bruselas, 56",Madrid,Espana,10.4789576,-66.8197762

Banco Popular ,Torre Arias,"Torre Arias, 6",Madrid,Espana,40.4436439,-3.6171315

Banco Popular ,Plaza cristo Rey,"Plaza cristo Rey, 2",Madrid,Espana,39.9552939,-4.4011335

Banco Popular ,Toledo,"Toledo, 46",Madrid,Espana,33.7542473314,-118.124354398
Banco Popular ,Antonio Lopez,"Antonio Lopez, 4",Madrid,Espana,-18.5705602,-39.7514657

Banco Popular ,San Julio Esquina Calle Santoraz,Calle San Julio,Madrid,Espana,40.4421873,-3.6805861

Banco Popular ,Avenida San Diego,"Avenida San Diego, 71",Madrid,Espana,-18.9200761,-48.2146637

Banco Popular ,Avenida Rafaela Ybarra,"Avenida Rafaela Ybarra, 36",Madrid,Espana,40.3850031,-3.7116566

Banco Popular ,Jilguero,"Jilguero, 8",Madrid,Espana,37.899743,-1.2152842

Banco Popular ,Martinez de La Riva,"Martinez de La Riva, 4",Madrid,Espana,40.39544885,-3.66829414402

Banco Popular ,Santa Rita,"Santa Rita, 2",Madrid,Espana,38.9331937,-1.3255759

Banco Popular ,Santa Isabel,"Santa Isabel, 51",Madrid,Espana,33.6393277334,-117.58658046

Banco Popular ,Avenida Castilla,"Avenida Castilla, 2",Madrid,Espana,42.0088414,-4.5369625

Banco Popular ,Avenida de Badajoz,"Avenida de Badajoz, 24",Madrid,Espana,38.8750296,-7.1640631

Banco Popular ,Emilio Munoz,"Emilio Munoz, 43",Madrid,Espana,19.4763281,-98.207982

Banco Popular ,Camarena,"Camarena, 153",Madrid,Espana,40.0925817,-4.1212535

Banco Popular ,Miguel Angel,"Miguel Angel, 16",Madrid,Espana,-34.6476613,-58.8076773

Banco Popular ,Emilio Ferrari,"Emilio Ferrari, 63",Madrid,Espana,41.0218483,14.6188515
Banco Popular ,Maria de Molina,"Maria de Molina, 34",Madrid,Espana,40.0386694,-6.0892124

Banco Popular ,Avenida de Los Poblados,"Avenida de Los Poblados, 58",Madrid,Espana,40.3733021,-3.7119716

Banco Popular ,Banos de Montemayor,"Banos de Montemayor, 7",Madrid,Espana,40.3177157363,-5.85854040949

Banco Popular ,Melchor Fernandez Almagro,"Melchor Fernandez Almagro, 101",Madrid,Espana,40.4771211,-3.6908429

Banco Popular ,Carretera de Canillas,"Carretera de Canillas, 140",Madrid,Espana,40.4649806,-3.6389563

Banco Popular ,Avenida de La Osa Mayor,"Avenida de La Osa Mayor, 85",Madrid,Espana,40.4576201,-3.7902543

Banco Popular ,General Moscardo,"General Moscardo, 3",Madrid,Espana,35.2846841,-2.9472516

Banco Popular ,Paseo del Doctor Vallejo Najera,"Paseo del Doctor Vallejo Najera, 53",Madrid,Espana,40.4013284,-3.705152

Banco Popular ,Juan Ignacio Luca de Tena,"Calle de Juan Ignacio Luca de Tena, 11",Madrid,Espana,40.4477338,-3.632365

Banco Popular ,Avenida del Marques de Corbera,"Avenida del Marques de Corbera, 25",Madrid,Espana,40.4242189,-3.6543162

Banco Popular ,Avenida de Burgos,"Avenida de Burgos, 21",Madrid,Espana,37.9402091,-1.167768

Banco Popular ,Virgen de Las Vinas,"Virgen de Las Vinas, 9",Madrid,Espana,37.5791302,-4.6425142

Banco Popular ,Paseo Gigantes Y Cabezudos,"Paseo Gigantes Y Cabezudos, 6",Madrid,Espana,40.3605179,-3.6940875

Banco Popular ,Avenida Partenon,"Avenida Partenon, 10",Madrid,Espana,-30.0646609,-51.1901471

Banco Popular ,Santa Virgilia,"Santa Virgilia, 21",Madrid,Espana,40.47583,-3.6392726

Banco Popular ,Fermin Caballero,"Fermin Caballero, 36",Madrid,Espana,40.4831054,-3.7084794

Banco Popular ,Tumaco,"Tumaco, 6",Madrid,Espana,1.8077554,-78.7705976

Banco Popular ,Zarzuela,"Zarzuela, 2",Madrid,Espana,40.2560862,-2.1289673

Banco Popular ,Bravo Murillo,"Bravo Murillo, 9",Madrid,Espana,40.4510674,-3.7033717

Banco Popular ,Serrano,"Serrano, 77",Madrid,Espana,32.9093543,-105.9201288

Banco Popular ,Alcala,"Alcala, 499",Madrid,Espana,29.853171,-95.2505329

