Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud

Caja Laboral ,Paseo de La Castellana,"Paseo de La Castellana, 167",Madrid,España,40.4358824,-3.6893211

Caja Laboral ,Avenida Albufera,"Avenida de la Albufera, 33",Madrid,España,40.3905435,-3.647406

Caja Laboral ,Alcala,"Alcala, 316",Madrid,España,29.853171,-95.2505329

