Banco,Sucursal,Direccion,Ciudad,Pais,Latitud,Longitud
Bankinter ,Plaza de Castilla,"Plaza de Castilla, 3",Madrid,España,40.4664337,-3.6895517

Bankinter ,C.marques de Riscal 11,"Calle del Marques de Riscal 11,",Madrid,España,40.4305946,-3.6907456

Bankinter ,Avenida de Bruselas 12,"Avenida de Bruselas 12,",Madrid,España,42.8495354,-2.6464733

Bankinter ,General Arrando,"General Arrando, 3",Madrid,España,40.4317013,-3.6950493

Bankinter ,Sopelana,"Sopelana, 13",Madrid,España,43.3778662,-2.98375565528

Bankinter ,Barquillo,"Barquillo, 15",Madrid,España,40.4201116,-5.5055796

Bankinter ,Avenida de Manoteras,"Avenida de Manoteras, 1O",Madrid,España,40.4888993,-3.6713917

Bankinter ,Avenida Monforte de Lemos,"Avenida Monforte de Lemos, 185",Madrid,España,42.5236693,-7.5096951

Bankinter ,Avenida de La Peseta,"Avenida de La Peseta, 92",Madrid,España,40.36217705,-3.7538054203

Bankinter ,Ronda de Atocha,"Ronda de Atocha, 18",Madrid,España,40.4065721,-3.697498

Bankinter ,Luchana,"Luchana, 12",Madrid,España,43.370514,-8.3983227

Bankinter ,Avenida Reina Victoria 31,"Avenida Reina Victoria 31,",Madrid,España,40.6389352,-4.0252454

Bankinter ,Eduardo Dato,"Eduardo Dato, 19",Madrid,España,43.3663799,-8.4189612

Bankinter ,Velazquez,"Velazquez, 61",Madrid,España,23.0975433,-82.3289347

Bankinter ,Jesus Aprendiz 19 6. B,"Jesus Aprendiz 19,",Madrid,España,40.4095728,-3.6710508

Bankinter ,Nunez de Balboa,"Nunez de Balboa, 30",Madrid,España,25.7170213,-100.3805227

Bankinter ,Plaza conde Valle Suchil,"Plaza del conde del Valle Suchil, 20",Madrid,España,40.4309086,-3.7075661

Bankinter ,Velazquez,"Velazquez, 150",Madrid,España,23.0975433,-82.3289347

Bankinter ,Canal de Suez N. 11,"Canal de Suez 11,",Madrid,España,40.4729957,-3.5796449

Bankinter ,Alberto Aguilera,"Alberto Aguilera, 12",Madrid,España,40.429935,-3.7077097

Bankinter ,Jose Bergamin N.12 L. 5 Y 6,"Jose Bergamin 12,",Madrid,España,-34.8124665,-56.201066

Bankinter ,Carretera de Canillas,"Carretera de Canillas, 134",Madrid,España,40.4649358,-3.6416763

Bankinter ,Hortaleza,"Hortaleza, 18",Madrid,España,40.4808253,-3.6440270278

Bankinter ,Pedro de Valdivia N. 31,"Pedro de Valdivia 31,",Madrid,España,-36.5911508,-72.092318

Bankinter ,Avenida del Mediterraneo N.10,"Avenida del Mediterraneo 10,",Madrid,España,40.3808359,-3.6028232

Bankinter ,Españoleto 11 1. 1.izda,Calle el Espanoleto 11,Madrid,España,36.5077891,-4.9075016

Bankinter ,San Jaime,"San Jaime, 2",Madrid,España,9.4419445,-75.1490185724

Bankinter ,Alonso Cano,"Alonso Cano, 63",Madrid,España,36.5066893,-6.2747243

Bankinter ,Francisco Santos,"Francisco Santos, 26",Madrid,España,-6.9945579,-41.1350671

Bankinter ,Pajaritos,"Pajaritos, 27",Madrid,España,18.129444,-94.378611

Bankinter ,Miguel Angel N. 22,"Calle Miguel Angel, 22",Madrid,España,38.6947868,-1.4342213

Bankinter ,General Martinez Campos 41 7. Dcha,"Paseo del General Martinez Campos 41,",Madrid,España,40.4349555,-3.6983447

Bankinter ,Lope de Rueda,"Lope de Rueda, 27",Madrid,España,37.8827796,-4.803147

Bankinter ,Gta Cuatro Caminos 6 Y 7,Glorieta Cuatro Caminos 6,Madrid,España,40.4472909,-3.7042116

Bankinter ,Alberto Aguilera 58 2 Izda,Alberto Aguilera 58,Madrid,España,40.4303519,-3.7140294

Bankinter ,Padilla,"Padilla, 6O",Madrid,España,-34.5989179,-58.4437138

Bankinter ,Jorge Juan 19 6,Jorge Juan 19,Madrid,España,-0.1879405,-78.4931327

Bankinter ,Guzman el Bueno 133 8 Planta,Guzman el Bueno 133,Madrid,España,37.6934288,-6.5487773

Bankinter ,Paseo de La Castella 155 8 C,Paseo de La Castella 155,Madrid,España,43.1551738,-0.2784398

Bankinter ,Bravo Murillo,"Bravo Murillo, 54",Madrid,España,40.4510674,-3.7033717

Bankinter ,Jose Ortega Y Gasset,"Jose Ortega Y Gasset, 40",Madrid,España,-2.9171042,-79.0103528

Bankinter ,Recoletos,"Recoletos, 10",Madrid,España,14.5881933,120.9782028

Bankinter ,Avenida General 5 1 Iz,Avenida General 5,Madrid,España,40.4708772,-3.5802332

Bankinter ,Paseo General Mtnez Campos 47 7. Izq,"Paseo del General Martinez Campos, 47",Madrid,España,40.4349555,-3.6983447

Bankinter ,Plaza Callao,"Plaza Callao, 1",Madrid,España,28.4120108,-16.5537202

Bankinter ,Castello,"Castello, 115",Madrid,España,45.8418473,9.1055608

Bankinter ,Lopez de Hoyos,"Lopez de Hoyos, 138",Madrid,España,40.4415849,-3.6781439

Bankinter ,Plaza Manolete,"Plaza Manolete, 2",Madrid,España,20.6362951,-103.3500031

Bankinter ,Zurbano 58 3. Dcha,Zurbano 58,Madrid,España,43.3575961,-2.8893529

Bankinter ,Avenida del Ferrol,"Avenida del Ferrol, 16",Madrid,España,40.47475745,-3.70514813801

Bankinter ,Alcala N. 372 Esc Izq 1. F,Calle de Alcala 372,Madrid,España,33.0700362,-117.0483249

Bankinter ,Paseo Castellana 180,Paseo Castellana 180,Madrid,España,-12.1330411,-77.0033073

Bankinter ,Velazquez N. 53,"Velazquez 53,",Madrid,España,23.0975433,-82.3289347

Bankinter ,Santa Maria Reina N. 2,"Santa Maria Reina 2,",Madrid,España,21.895653,-102.3211896

Bankinter ,Berlin,"Berlin, 7",Madrid,España,52.5916056,13.3080881506

Bankinter ,Avenida Menendez Pelayo N. 115 Ent.2.,"Avenida Menendez Pelayo 115,",Madrid,España,39.2708133,-2.5924417

Bankinter ,General Martinez Campos,"Paseo del General Martinez Campos, 41",Madrid,España,40.4349555,-3.6983447

Bankinter ,Medellin,"Calle Medellin, 11",Madrid,España,36.490492,-4.7218105

Bankinter ,Capitan Haya N. 56 1. H,"Capitan Haya 56,",Madrid,España,40.4625566,-3.691497

Bankinter ,Urumea N. 9,"Calle Urumea 9,",Madrid,España,40.3875874,-3.9324279

Bankinter ,Costa Rica,"Calle Costa Rica, 7",Madrid,España,43.53865,-5.6936189

Bankinter ,Ibiza N. 4 2. B,"Calle Ibiza 4,",Madrid,España,37.3784786,-5.9170135

Bankinter ,Primavera de Praga 11 Loc 11,"Primavera de Praga 11,",Madrid,España,40.4118058,-3.65564519706

Bankinter ,Gran Via N. 55 9.,"Gran Via 55,",Madrid,España,37.8555295605,-122.037700368

Bankinter ,Vinaroz N. 16 B 4.,"Vinaroz 16,",Madrid,España,40.4703992,0.4746076

Bankinter ,Velazquez N. 71 1. Dcha,"Velazquez 71,",Madrid,España,23.0975433,-82.3289347

Bankinter ,Corazon de Maria N.50 4.d,"Corazon de Maria 50,",Madrid,España,-28.434994,-65.7800024

Bankinter ,Bahia de Alicante,"Bahia de Alicante, 7",Madrid,España,-41.4492569,-72.9276677

Bankinter ,Doctor Fleming N. 30 9. C,"Doctor Fleming 30,",Madrid,España,42.6165605,-6.4175543

Bankinter ,Serrano 216,"Serrano 216,",Madrid,España,-33.4473807061,-70.648686049

Bankinter ,Felisa Mendez 9 1.,"Felisa Mendez 9,",Madrid,España,40.393663,-3.6710152

Bankinter ,San Jaime 24,"San Jaime 24,",Madrid,España,9.4419445,-75.1490185724

Bankinter ,Alcala N.157 4.b,"Alcala 157,",Madrid,España,29.853171,-95.2505329

Bankinter ,Silva N. 2 1. 6,"Silva 2,",Madrid,España,34.0550994,-106.9067413

Bankinter ,Doctor Esquerdo N. 43,Doctor Esquerdo 43,Madrid,España,37.6963638,-6.5913069

Bankinter ,Miguel Angel N. 16 2. Dcha,"Miguel Angel 16,",Madrid,España,-22.4832417,-68.9322135

Bankinter ,Argensola N. 6 5.c,"Argensola 6,",Madrid,España,20.6688013,-103.3843131

Bankinter ,Jesus Aprendiz N. 13,"Jesus Aprendiz 13,",Madrid,España,39.4391261,-0.3907976

Bankinter ,Princesa 49,"Princesa 49,",Madrid,España,-26.4452737,-53.599913

Bankinter ,Hermosilla N. 60 1. Izda,"Hermosilla 60,",Madrid,España,42.6575969,-3.4350129

Bankinter ,Francisco Silvela 50 4.b,"Francisco Silvela 50,",Madrid,España,40.4343657,-3.67395
Bankinter ,Carretera Canillas 138 2. Of 10 B,"Carretera Canillas 138,",Madrid,España,40.465237,-3.6370767

Bankinter ,Berlanas N. 5 1. B,"Berlanas 5,",Madrid,España,40.8040165,-4.7611116

Bankinter ,Avenida de Oporto 81,"Avenida de Oporto 81,",Madrid,España,40.3875405,-3.7306508

Bankinter ,Bravo Murillo N.213 Bis 2.izda,"Bravo Murillo 213,",Madrid,España,40.4510674,-3.7033717

Bankinter ,Islas Cabo Verde 63,Islas Cabo Verde 63,Madrid,España,40.4783077,-3.7357231

Bankinter ,Principe de Vergara,"Principe de Vergara, 205",Madrid,España,36.5189667,-4.876947

Bankinter ,Jerez N.4,"Jerez 4,",Madrid,España,-0.214875,-78.4865651

Bankinter ,Jose Ortega Y Gasset N.68 3.c,"Jose Ortega Y Gasset 68,",Madrid,España,-2.9171042,-79.0103528

Bankinter ,Helsinki 15 1. B,"Helsinki 15,",Madrid,España,60.1913479,24.9026643

